id,Cause,Objects,Occupation,Activities
201122769,Struck By Moving Objects,wheel,no_occupation,using a handheld power
202556775,Electrocution,machine-activation,contractor,working at an aerospace
202556775,Electrocution,machine-activation,contractor,threading machine
202556775,Electrocution,machine-activation,contractor,being gripped by the
202556775,Electrocution,machine-activation,contractor,being activated by employee
202556775,Electrocution,machine-activation,contractor,using the onofftype switch
202556775,Electrocution,machine-activation,contractor,using his right hand
202556775,Electrocution,machine-activation,contractor,using the machine to
202556775,Electrocution,machine-activation,contractor,threading machine ridge tool
202556775,Electrocution,machine-activation,contractor,using a pipe and
202556775,Electrocution,machine-activation,contractor,assembling a pipe section
201521390,Falls,no_object,accelerator,undergoing physical therapy
201521390,Falls,no_object,accelerator,roofing machinery from the
201521390,Falls,no_object,accelerator,preparing to remove a
201344959,Struck By Moving Objects,reaction,no_occupation,using compressed air to
201344959,Struck By Moving Objects,reaction,no_occupation,being tested to ensure
201509056,Caught in/between Objects,no_object,driver,pumping concrete
202465761,Caught in/between Objects,nail-gun,contractor,working near the company
202465761,Caught in/between Objects,nail-gun,contractor,being operated without the
202465761,Caught in/between Objects,nail-gun,contractor,injuring him
202465761,Caught in/between Objects,nail-gun,contractor,removing an air hose
202465761,Caught in/between Objects,nail-gun,contractor,starting to nail sheeting
202500682,Caught in/between Objects,hot-water,no_occupation,installing insulation around pipe
310813175,Caught in/between Objects,gasoline,contractor,causing gasoline to stream
310813175,Caught in/between Objects,gasoline,contractor,holding the saw overhead
310813175,Caught in/between Objects,gasoline,contractor,opening at a work
310813175,Caught in/between Objects,gasoline,contractor,using a concrete cutting
201485042,Struck By Moving Objects,no_object,no_occupation,applying sunrez resin and
201485042,Struck By Moving Objects,no_object,no_occupation,sitting on a toilet
201485042,Struck By Moving Objects,no_object,no_occupation,performing restoration effort on
201112737,Caught in/between Objects,no_object,contractor,using an electric chipping
201112737,Caught in/between Objects,no_object,contractor,working at an apartment
201402831,Struck By Moving Objects,no_object,no_occupation,using acetone on the
201402831,Struck By Moving Objects,no_object,no_occupation,working in did not
201402831,Struck By Moving Objects,no_object,no_occupation,removing linoleum tile
201402831,Struck By Moving Objects,no_object,no_occupation,working at a house
202545240,Caught in/between Objects,no_object,foreman,remaining weld to support
202545240,Caught in/between Objects,no_object,foreman,supporting the trellis
202545240,Caught in/between Objects,no_object,foreman,removing safety bracket with
202545240,Caught in/between Objects,no_object,foreman,working alone removing safety
202545240,Caught in/between Objects,no_object,foreman,securing a 22 ft
202471850,Caught in/between Objects,cutting-torch,supervisor,welding glove
202471850,Caught in/between Objects,cutting-torch,supervisor,wearing the appropriate personal
202471850,Caught in/between Objects,cutting-torch,supervisor,casing
202471850,Caught in/between Objects,cutting-torch,supervisor,casing when flame hit
202471850,Caught in/between Objects,cutting-torch,supervisor,leaning over the open
202471850,Caught in/between Objects,cutting-torch,supervisor,casing to raise it
202471850,Caught in/between Objects,cutting-torch,supervisor,cutting the well casing
200515229,Struck By Moving Objects,no_object,owner,removing the roof of
200515229,Struck By Moving Objects,no_object,owner,running
200515229,Struck By Moving Objects,no_object,owner,being conducted and he
201126406,Struck By Moving Objects,gas,no_occupation,using a welder s
201623766,Falls,board-sign,no_occupation,falling highway board sign
200713980,Struck By Moving Objects,billboard,owner,working
200713980,Struck By Moving Objects,billboard,owner,erecting a steel double
102269925,Caught in/between Objects,lift,no_occupation,operating an eagle 44
202517009,Falls,toad-sign,no_occupation,holding the panel to
202517009,Falls,toad-sign,no_occupation,moving a metal directional
202517009,Falls,toad-sign,no_occupation,removing road construction warning
200032803,Struck By Moving Objects,outdoor-sign,coworker,pulling on a painting
201353208,Falls,no_object,coworker,wearing personal fall protection
201353208,Falls,no_object,coworker,working from a catwalk
201353208,Falls,no_object,coworker,standing for their lanyard
201079605,Caught in/between Objects,tree-limb,coworker,pulling on the rope
201079605,Caught in/between Objects,tree-limb,coworker,holding onto the line
201079605,Caught in/between Objects,tree-limb,coworker,striking his forehead against
201079605,Caught in/between Objects,tree-limb,coworker,using a chain saw
201079605,Caught in/between Objects,tree-limb,coworker,operating an aerial lift
201079605,Caught in/between Objects,tree-limb,coworker,cutting down a eucalyptus
200376655,Struck By Moving Objects,no_object,supervisor,working together to demo
200376655,Struck By Moving Objects,no_object,supervisor,pushing him against the
200376655,Struck By Moving Objects,no_object,supervisor,assisting a crew with
200376655,Struck By Moving Objects,no_object,supervisor,operating an aerial lift
200515914,Caught in/between Objects,no_object,no_occupation,performing exterior carpentry work
200515914,Caught in/between Objects,no_object,no_occupation,working in the basket
201408671,Falls,lift,coworker,working from a lift
201408671,Falls,lift,coworker,painting the building s
201408671,Falls,lift,coworker,painting the exterior of
201408671,Falls,lift,coworker,falling
201129889,Caught in/between Objects,pipe,electrician,looking down from the
201129889,Caught in/between Objects,pipe,electrician,operating a scissor lift
201129889,Caught in/between Objects,pipe,electrician,installing electrical wire in
201129889,Caught in/between Objects,pipe,electrician,working a a subcontractor
200626950,Falls,lift,supervisor,working from a personnel
202556452,Caught in/between Objects,laceration,carpenter,cutting a piece of
202556452,Caught in/between Objects,laceration,carpenter,working a a fulltime
170784722,Caught in/between Objects,lift,no_occupation,receiving treatment for a
170784722,Caught in/between Objects,lift,no_occupation,driving the lift down
201498094,Falls,manlift,worker,following his stay there
202556726,Falls,scissor-lift,contractor,lying on the floor
202556726,Falls,scissor-lift,contractor,spotting screw in the
202556726,Falls,scissor-lift,contractor,working a a drywall
202556726,Falls,scissor-lift,contractor,working at a commercial
202570321,Electrocution,power-line,no_occupation,doing repair work on
202657862,Falls,pit,coworker,working inside the facility
202657862,Falls,pit,coworker,working at an aerospace
202657862,Falls,pit,coworker,falling into the pit
202657862,Falls,pit,coworker,surrounding the lift s
202657862,Falls,pit,coworker,elevating them to install
201925344,Struck By Moving Objects,lift-platform,no_occupation,parking
200103778,Struck By Moving Objects,lift,worker,running and the movement
200103778,Struck By Moving Objects,lift,worker,wearing a fall protection
200103778,Struck By Moving Objects,lift,worker,awning structure of the
200103778,Struck By Moving Objects,lift,worker,moving and appeared to
200103778,Struck By Moving Objects,lift,worker,working alone from an
202089090,Falls,lift,no_occupation,wearing a full body
202089090,Falls,lift,no_occupation,facing the control and
202089090,Falls,lift,no_occupation,mounting clip from an
202089090,Falls,lift,no_occupation,removing wallmounted triangular bracket
202472338,Struck By Moving Objects,basket,coworker,pushing the aerial lift
202472338,Struck By Moving Objects,basket,coworker,using a jlg aerial
200151249,Struck By Moving Objects,lift,no_occupation,parking structure when he
200151249,Struck By Moving Objects,lift,no_occupation,articulating lift to install
200151249,Struck By Moving Objects,lift,no_occupation,using an articulating lift
202446191,Caught in/between Objects,lift-basket,ledger,working at a large
202446191,Caught in/between Objects,lift-basket,ledger,moving the boom s
202446191,Caught in/between Objects,lift-basket,ledger,welding ledger angle on
200603538,Struck By Moving Objects,lift,no_occupation,traveling
200603538,Struck By Moving Objects,lift,no_occupation,facing the direction in
200603538,Struck By Moving Objects,lift,no_occupation,operating the control of
201488897,Caught in/between Objects,lift,coworker,ring and spring
201488897,Caught in/between Objects,lift,coworker,being caught between the
201488897,Caught in/between Objects,lift,coworker,bracing under the ceiling
201488897,Caught in/between Objects,lift,coworker,welding steel bracing under
201488897,Caught in/between Objects,lift,coworker,working from an aerial
170761514,Struck By Moving Objects,lift,drivesteer,cutting out the beam
170761514,Struck By Moving Objects,lift,drivesteer,working from an aerial
202657466,Falls,truss,contractor,manufacturing baling hay and
202657466,Falls,truss,contractor,being dislodged from position
202657466,Falls,truss,contractor,being effectively secured or
202657466,Falls,truss,contractor,retrieving a tool from
202657466,Falls,truss,contractor,constructing a 90 ft
201498201,Falls,no_object,laborer,placing top cap along
201498201,Falls,no_object,laborer,constructing a barn for
201498201,Falls,no_object,laborer,performing his regular duty
200626927,Falls,equipment,coworker,going to replace the
200626927,Falls,equipment,coworker,lifting a 200 pound
201078961,Falls,no_object,no_occupation,using a 12 ft
201078961,Falls,no_object,no_occupation,opening wa to be
201078961,Falls,no_object,no_occupation,installing four piece of
202509840,Falls,ladder,no_occupation,pushing a 22 in
202587895,Falls,hvac-installer,multiemployer,laying out huge hvac
202587895,Falls,hvac-installer,multiemployer,opening in the roof
202587895,Falls,hvac-installer,multiemployer,stepping onto the steel
202587895,Falls,hvac-installer,multiemployer,waiting for the machinery
202587895,Falls,hvac-installer,multiemployer,looking up at the
202587895,Falls,hvac-installer,multiemployer,being lifted by helicopter
202587895,Falls,hvac-installer,multiemployer,working at a multiemployer
202653960,Struck By Moving Objects,belt,handler,conducting an inspection on
202471041,Falls,no_object,contractor,wearing a fall protection
202471041,Falls,no_object,contractor,wearing a fall protection
202471041,Falls,no_object,contractor,talking on his cell
202471041,Falls,no_object,contractor,facing east and talking
202471041,Falls,no_object,contractor,conducting the startup procedure
202471041,Falls,no_object,contractor,conditioning contractor
202471041,Falls,no_object,contractor,working for a plumbing
200556546,Electrocution,power-line,conductor,conditioning unit installed on
200556546,Electrocution,power-line,conductor,repairing the compressor on
200556546,Electrocution,power-line,conductor,running at 50 percent
202561254,Struck By Moving Objects,heater,no_occupation,working inside a large
201494978,Falls,equipment,kangarooter,controlling the bucket movement
201494978,Falls,equipment,kangarooter,operating an auger truck
200074615,Struck By Moving Objects,no_object,no_occupation,working on a 36
202541322,Caught in/between Objects,no_object,controller,spraying kilz r
202541322,Caught in/between Objects,no_object,controller,working in an apartment
202541322,Caught in/between Objects,no_object,controller,providing negative air pressure
202541322,Caught in/between Objects,no_object,controller,filtering machine designed for
202340873,Falls,no_object,carpenter,installing fender panel on
202340873,Falls,no_object,carpenter,specializing in building dock
202340873,Falls,no_object,carpenter,working a a carpenter
201925211,Struck By Moving Objects,heart-attack,laborer,working in the excavation
200631596,Caught in/between Objects,unknown,scrubber,drinking water and soil
200631596,Caught in/between Objects,unknown,scrubber,doing the same activity
202288940,Struck By Moving Objects,stuck,no_occupation,being found by his
202288940,Struck By Moving Objects,stuck,no_occupation,working alone and he
202288940,Struck By Moving Objects,stuck,no_occupation,preparing to put a
202539854,Falls,no_object,no_occupation,opening
202539854,Falls,no_object,no_occupation,planting a tree near
200673747,Falls,no_object,no_occupation,removing a cover called
200851673,Falls,hvac-shaft,no_occupation,making it look like
200851673,Falls,hvac-shaft,no_occupation,replacing coping stone on
170178677,Falls,no_object,no_occupation,working on the third
763680,Falls,draft,no_occupation,working on a boom
963728,Struck By Moving Objects,apart,coworker,using the 4in
963728,Struck By Moving Objects,apart,coworker,working in a tunnel
963728,Struck By Moving Objects,apart,coworker,being cleaned out by
202674701,Caught in/between Objects,airplane,schweizer,hearing impaired
202674701,Caught in/between Objects,airplane,schweizer,wearing a safety vest
202674701,Caught in/between Objects,airplane,schweizer,looking forward and no
202674701,Caught in/between Objects,airplane,schweizer,loading area and hangar
202674701,Caught in/between Objects,airplane,schweizer,working alone approximately 300
202674701,Caught in/between Objects,airplane,schweizer,operating a pushtype blower
202674701,Caught in/between Objects,airplane,schweizer,dusting service in biggs
202674701,Caught in/between Objects,airplane,schweizer,working on a project
200230704,Other,helicopter,no_occupation,installing a fiber optic
202545745,Falls,no_object,supervisor,removing the top track
202545745,Falls,no_object,supervisor,removing a temporary wall
202545745,Falls,no_object,supervisor,requiring suture at a
202545745,Falls,no_object,supervisor,knocking him to the
202545745,Falls,no_object,supervisor,decking where it had
202545745,Falls,no_object,supervisor,using a crow bar
202545745,Falls,no_object,supervisor,remodeling a commuter terminal
201363652,Electrocution,power-line,no_occupation,lighting system at an
201363652,Electrocution,power-line,no_occupation,working on the runway
202541710,Other,thru-backhoe,contractor,digging
202541710,Other,thru-backhoe,contractor,digging
202541710,Other,thru-backhoe,contractor,potholing for soil
202541710,Other,thru-backhoe,contractor,entering it
202541710,Other,thru-backhoe,contractor,being demolished
202541710,Other,thru-backhoe,contractor,working on a new
202541710,Other,thru-backhoe,contractor,specializing in paving
202541710,Other,thru-backhoe,contractor,operating a backhoe for
201408697,Electrocution,steer,laborer,working behind a skid
201408697,Electrocution,steer,laborer,existing roadway
201408697,Electrocution,steer,laborer,widening of an existing
201408697,Electrocution,steer,laborer,verifying grade elevation for
316347244,Caught in/between Objects,forklift,driver,moving pile
316347244,Caught in/between Objects,forklift,driver,working at the five
202556346,Struck By Moving Objects,arc,coworker,containing wire to the
202556346,Struck By Moving Objects,arc,coworker,searching the basement level
202556346,Struck By Moving Objects,arc,coworker,holding the missing wire
202556346,Struck By Moving Objects,arc,coworker,holding the screwdriver when
202556346,Struck By Moving Objects,arc,coworker,replacing an old fire
200999266,Struck By Moving Objects,skid-loader,contractor,laying out piece for
200999266,Struck By Moving Objects,skid-loader,contractor,working to construct a
202652327,Caught in/between Objects,no_object,laborer,working together to set
202652327,Caught in/between Objects,no_object,laborer,backing
202652327,Caught in/between Objects,no_object,laborer,loading ramp
202652327,Caught in/between Objects,no_object,laborer,checking the loading ramp
202652327,Caught in/between Objects,no_object,laborer,working on the ground
202652327,Caught in/between Objects,no_object,laborer,driving the service truck
202652327,Caught in/between Objects,no_object,laborer,doing cleanup work at
202652327,Caught in/between Objects,no_object,laborer,working a a laborer
202652327,Caught in/between Objects,no_object,laborer,contracting company that specializes
202652327,Caught in/between Objects,no_object,laborer,working for his employer
201128907,Struck By Moving Objects,no_object,wheeler,retrieving a tool wa
201523974,Struck By Moving Objects,truck-backover,laborer,going to complete a
201523974,Struck By Moving Objects,truck-backover,laborer,driving lane of the
201523974,Struck By Moving Objects,truck-backover,laborer,operating in a south
201523974,Struck By Moving Objects,truck-backover,laborer,performing it second pas
201523974,Struck By Moving Objects,truck-backover,laborer,measuring 7 foot 2
201523974,Struck By Moving Objects,truck-backover,laborer,working in coordination with
201523974,Struck By Moving Objects,truck-backover,laborer,maintaining the traffic pattern
201523974,Struck By Moving Objects,truck-backover,laborer,milling project
201523974,Struck By Moving Objects,truck-backover,laborer,working a a laborer
200542199,Struck By Moving Objects,motor-vehicle,laborer,backing up to the
200542199,Struck By Moving Objects,motor-vehicle,laborer,walking across the new
200542199,Struck By Moving Objects,motor-vehicle,laborer,leading to a bridge
200542199,Struck By Moving Objects,motor-vehicle,laborer,working on a new
202634622,Struck By Moving Objects,truck,raker,repaving project
202634622,Struck By Moving Objects,truck,raker,working a a raker
200542116,Struck By Moving Objects,steer,laborer,standing in the path
200542116,Struck By Moving Objects,steer,laborer,traveling in reverse with
200542116,Struck By Moving Objects,steer,laborer,operating a new holland
200542116,Struck By Moving Objects,steer,laborer,being prepared for concrete
200542116,Struck By Moving Objects,steer,laborer,working a a laborer
202570693,Struck By Moving Objects,motorist,driver,driving under the influence
202570693,Struck By Moving Objects,motorist,driver,working approximately 20 foot
202570693,Struck By Moving Objects,motorist,driver,operating a weedeater on
202570693,Struck By Moving Objects,motorist,driver,performing landscape maintenance at
202654166,Falls,party,corinthian,coming down the marble
202654166,Falls,party,corinthian,landing coming down the
201562683,Struck By Moving Objects,truck,driver,traveling southbound and failed
201562683,Struck By Moving Objects,truck,driver,wearing the appropriate personal
201562683,Struck By Moving Objects,truck,driver,directing traffic and wearing
202508024,Other,stung,contractor,preparing to remodel a
202508024,Other,stung,contractor,working for his employer
202455671,Caught in/between Objects,alcohol,manager,separating the glass and
202455671,Caught in/between Objects,alcohol,manager,holding with his right
202455671,Caught in/between Objects,alcohol,manager,separating the glass with
202455671,Caught in/between Objects,alcohol,manager,working on the second
202455671,Caught in/between Objects,alcohol,manager,working in this particular
202455671,Caught in/between Objects,alcohol,manager,doing his regularly assigned
202455671,Caught in/between Objects,alcohol,manager,using denatured alcohol to
202455671,Caught in/between Objects,alcohol,manager,working for sierra glass
202527461,Caught in/between Objects,no_object,no_occupation,spraying an alcoholbased primer
201353364,Falls,no_object,no_occupation,using both of his
201353364,Falls,no_object,no_occupation,leaning back on his
201353364,Falls,no_object,no_occupation,installing rigging equipment so
201353364,Falls,no_object,no_occupation,installing reinforcing bar on
202368999,Struck By Moving Objects,no_object,coworker,hanging sheetrock in a
202528659,Caught in/between Objects,glove,no_occupation,working for ea service
200212017,Struck By Moving Objects,bee,no_occupation,running
200212017,Struck By Moving Objects,bee,no_occupation,operating
200212017,Struck By Moving Objects,bee,no_occupation,operating a bulldozer to
200271203,Struck By Moving Objects,dust,no_occupation,using a torch to
200271203,Struck By Moving Objects,dust,no_occupation,causing an explosion
202659058,Electrocution,hand-drill,officer,using his personallyowned dewalt
202659058,Electrocution,hand-drill,officer,wearing rubber glove and
202659058,Electrocution,hand-drill,officer,working at a building
201130085,Caught in/between Objects,saw,carpenter,being used
201130085,Caught in/between Objects,saw,carpenter,being used and separate
201130085,Caught in/between Objects,saw,carpenter,being used
201130085,Caught in/between Objects,saw,carpenter,being used and separate
201130085,Caught in/between Objects,saw,carpenter,making wa allowable without
201130085,Caught in/between Objects,saw,carpenter,guiding the wood through
201130085,Caught in/between Objects,saw,carpenter,pushing and guiding the
201130085,Caught in/between Objects,saw,carpenter,working alone and no
201130085,Caught in/between Objects,saw,carpenter,rising only to approximately
201130085,Caught in/between Objects,saw,carpenter,performing required two rip
201130085,Caught in/between Objects,saw,carpenter,measuring approximately 16 inch
201130085,Caught in/between Objects,saw,carpenter,making the first rip
201130085,Caught in/between Objects,saw,carpenter,framing modification
201130085,Caught in/between Objects,saw,carpenter,using a bosch 4000
201130085,Caught in/between Objects,saw,carpenter,performing interior carpentry at
202692299,Caught in/between Objects,skilsaw,journeyman,using a skillsaw to
202510194,Caught in/between Objects,pump,putzmeister,using a garden hose
202510194,Caught in/between Objects,pump,putzmeister,cleaning the equipment
202546438,Caught in/between Objects,saw,no_occupation,holding a 2 in
202546438,Caught in/between Objects,saw,no_occupation,working on the construction
202570495,Falls,no_object,coworker,placing anchor on the
202658472,Falls,no_object,journeyman,hanging pilaster panel
202658472,Falls,no_object,journeyman,working on a below
202657771,Falls,no_object,foreman,walking to untie the
202657771,Falls,no_object,foreman,wearing a full body
202657771,Falls,no_object,foreman,inspecting the sheeted roof
202614806,Falls,no_object,no_occupation,climbing onto the roof
202614806,Falls,no_object,no_occupation,working for a construction
202369518,Falls,tower,no_occupation,using failed
202369518,Falls,tower,no_occupation,using personal fall protection
201078680,Falls,no_object,laborer,using the scissors lift
201078680,Falls,no_object,laborer,existing plastic using the
201078680,Falls,no_object,laborer,opening
201078680,Falls,no_object,laborer,covering an openair atrium
201078680,Falls,no_object,laborer,wearing fall protection his
201078680,Falls,no_object,laborer,wearing a miller
201078680,Falls,no_object,laborer,opening
201078680,Falls,no_object,laborer,entering the nearby and
201078680,Falls,no_object,laborer,undergoing renovation
201078169,Electrocution,dam,laborer,moving a sprinkler system
201078169,Electrocution,dam,laborer,working on the face
201078169,Electrocution,dam,laborer,moving the sprinkler system
201078169,Electrocution,dam,laborer,cracking during the curing
201078169,Electrocution,dam,laborer,being used to prevent
201078169,Electrocution,dam,laborer,being kept in the
200556843,Falls,ceiling,no_occupation,crushing him between the
200556843,Falls,ceiling,no_occupation,working to demolish a
202005427,Falls,house,roofer,wearing a safety harness
202005427,Falls,house,roofer,working atop a private
201127834,Falls,ladder,foremancarpenter,using both hand to
201127834,Falls,ladder,foremancarpenter,making his first trip
201127834,Falls,ladder,foremancarpenter,installing window trim on
200381051,Falls,fromtelecommunication-tower,breaker,wearing a personal fall
200381051,Falls,fromtelecommunication-tower,breaker,working on a tower
202089413,Electrocution,no_object,no_occupation,causing employee 1
202089413,Electrocution,no_object,no_occupation,adjusting the comealong in
202089413,Electrocution,no_object,no_occupation,using a ratchet lever
202089413,Electrocution,no_object,no_occupation,wearing a harness or
202089413,Electrocution,no_object,no_occupation,working on top of
202089413,Electrocution,no_object,no_occupation,erecting a grain leg
202573846,Electrocution,power-line,crozer,sustaining entry wound on
202573846,Electrocution,power-line,crozer,preparing to pave a
201773348,Falls,no_object,worker,allowing the employee to
201773348,Falls,no_object,worker,using a harness and
201773348,Falls,no_object,worker,decking
201773348,Falls,no_object,worker,installing roof decking
201773348,Falls,no_object,worker,working approximately fortyfeet above
202458733,Falls,brain,contractor,being constructed
202458733,Falls,brain,contractor,working at a site
202458733,Falls,brain,contractor,using a step ladder
202458733,Falls,brain,contractor,installing wire mesh on
202458733,Falls,brain,contractor,being constructed
202464418,Struck By Moving Objects,arch,contractor,working for a special
311460737,Struck By Moving Objects,no_object,no_occupation,releasing ammonia vapor
311460737,Struck By Moving Objects,no_object,no_occupation,repositioning an adjustable scaffold
311460737,Struck By Moving Objects,no_object,no_occupation,releasing ammonia vapor
200072981,Caught in/between Objects,ammonia,dehumidifier,working on a scaffold
201460136,Falls,no_object,no_occupation,articulating ladder set up
201460136,Falls,no_object,no_occupation,installing an entertainment system
201187143,Struck By Moving Objects,no_object,carpenter,performing interior finished framing
201408705,Struck By Moving Objects,truck,contractor,picking up tie down
201024825,Falls,picture,no_occupation,hanging a picture
202675625,Struck By Moving Objects,no_object,no_occupation,operating a hydraulic jack
202675625,Struck By Moving Objects,no_object,no_occupation,being installed
202675625,Struck By Moving Objects,no_object,no_occupation,working at a residential
201187127,Falls,plywood,subcontractor,removing one sheet of
201187127,Falls,plywood,subcontractor,working at a construction
201187127,Falls,plywood,subcontractor,measuring 4 foot by
202675302,Falls,plank,driver,using to haul trash
202675302,Falls,plank,driver,going to use a
202675302,Falls,plank,driver,cleaning up construction debris
171044845,Falls,no_object,no_occupation,working on a roof
200536027,Falls,ladder,worker,installing structural steel for
202723722,Falls,tower,worker,wearing pfas however
202723722,Falls,tower,worker,adjusting an antenna at
202522116,Caught in/between Objects,no_object,no_occupation,lowering cell phone antenna
202522116,Caught in/between Objects,no_object,no_occupation,working on a communication
200003143,Falls,tower,inman,using five 20ft triangular
201494150,Struck By Moving Objects,no_object,no_occupation,installing five 24in
201494150,Struck By Moving Objects,no_object,no_occupation,working with a crew
201494150,Struck By Moving Objects,no_object,no_occupation,operating an allterrain forklift
200002160,Falls,tower,no_occupation,upgrading antenna on a
201272382,Struck By Moving Objects,antenna,no_occupation,wearing hard hat
201272382,Struck By Moving Objects,antenna,no_occupation,falling
201272382,Struck By Moving Objects,antenna,no_occupation,indicating that something wa
201272382,Struck By Moving Objects,antenna,no_occupation,warning call indicating that
201272382,Struck By Moving Objects,antenna,no_occupation,leaving the communication tower
201272382,Struck By Moving Objects,antenna,no_occupation,consisting of a rope
201272382,Struck By Moving Objects,antenna,no_occupation,using a rigging system
201272382,Struck By Moving Objects,antenna,no_occupation,falling
201572831,Falls,tower,no_occupation,positioning lanyard from an
201572831,Falls,tower,no_occupation,existing threeleg communication tower
201572831,Falls,tower,no_occupation,installing a new digital
200354363,Falls,tower,no_occupation,conducting a sweep test
200354363,Falls,tower,no_occupation,replacing nine antenna panel
200354363,Falls,tower,no_occupation,working on the tower
202338265,Falls,tower,no_occupation,installing sleeve cover over
201172913,Falls,antenna-tower,no_occupation,descending an antenna tower
202531729,Fires and Explosion,arc,worker,using an air arc
202531729,Fires and Explosion,arc,worker,welding task
202531729,Fires and Explosion,arc,worker,cutting grinding and welding
202531729,Fires and Explosion,arc,worker,starting the cutting grinding
202531729,Fires and Explosion,arc,worker,using air arc to
202531729,Fires and Explosion,arc,worker,performing repair on the
202531729,Fires and Explosion,arc,worker,attempting to remove and
202531729,Fires and Explosion,arc,worker,working at a construction
201331246,Struck By Moving Objects,tank,no_occupation,welding
201331246,Struck By Moving Objects,tank,no_occupation,performing hot work and
201331246,Struck By Moving Objects,tank,no_occupation,working on a 10
202609038,Electrocution,arc-welding,welder,using an arc welder
202609038,Electrocution,arc-welding,welder,holding tank
202609038,Electrocution,arc-welding,welder,repairing a holding tank
201127289,Struck By Moving Objects,no_object,ironworker,arching a steel plate
201127289,Struck By Moving Objects,no_object,ironworker,wearing an orange safety
201125580,Struck By Moving Objects,arc-welder,no_occupation,wearing canvas type overall
201125580,Struck By Moving Objects,arc-welder,no_occupation,smoldering apparently from a
201125580,Struck By Moving Objects,arc-welder,no_occupation,welding for approximately two
201125580,Struck By Moving Objects,arc-welder,no_occupation,welding at the jobsite
