,id,Activities
498,200780344,working at the bottom
499,724955,dismantling a scaffold that
500,202675740,following the initial treatment
501,202675740,operating a chop saw
502,202675740,working at a building
503,201079845,providing service at a
504,201079845,working for a plumbing
505,202654919,using a propane torch
506,200000453,wrapping the rod around
507,200000453,reinforcing rod
508,200000453,attaching the cable to
509,200000453,clipping in the fiberoptic
510,200000453,completing the task of
511,200000453,existing 69kilovolt overhead power
512,200000453,supporting an existing 69kilovolt
513,200000453,installing all dielectric selfsupporting
514,201079365,excavating structure for water
515,202458303,leaning against the moving
516,202458303,leaning on the north
517,202458303,leaning against some moving
518,202458303,using a ripsaw to
519,202458303,working a a cabinet
520,202570305,opening
521,202570305,sheathing plywood
522,202570305,working from a baker
523,202570305,working at a commercial
524,202422341,shoring system for an
525,312668536,using cut him under
526,200515187,digging with a shovel
527,200515187,using a backhoe to
528,200515187,existing trench that measured
529,200515187,leading to a new
530,200515187,existing water line so
531,200515187,trying to find the
532,201077724,working for their employer
533,201077724,working on a light
534,202518320,falling and wa about
535,202518320,pulling down duct work
536,201573458,using a sludge hammer
537,202501995,decking onto the steel
538,202501995,installing metal decking onto
539,202501995,wearing fall protection equipment
540,200801777,working from
541,200801777,removing a suspended pipe
542,200801777,wearing all of his
543,200801777,working within an asbestos
544,202444469,using a hand stapler
545,202444469,setting up critical barrier
546,201800729,wearing fall protection and
547,201800729,opening approximately 8 foot
548,201800729,removing the plastic containment
549,201800729,doing teardown work in
550,201800729,working in construction doing
551,201800729,removing plastic when he
552,201800729,facing south and removing
553,200052629,fastening furring strip to
554,200052629,working on an aerial
555,200052629,lighting
556,200052629,helping a coworker install
557,200052629,working on a step
558,200513893,working the elevator car
559,200513893,removing asbestos from the
560,200513893,scaffolding on the inside
561,200513893,working from a make
562,200541233,unscrewing the bolt of
563,200541233,wearing a harness and
564,200541233,removing the old roof
565,201572781,being prepared for demolition
566,201572781,working on the fourth
567,201572781,being sprayed on debris
568,201118551,surfacing material wa found
569,201118551,surfacing material on the
570,201118551,renovating the lobby of
571,200830875,reaching toward the wall
572,200830875,performing asbestos removal for
573,201953544,performing this type of
574,201143351,bagging the fallen debris
575,201143351,sweeping up and bagging
576,201143351,causing him to fall
577,201143351,being broken to fall
578,200120640,being used to evacuate
579,200120640,flooring and most of
580,200120640,using a propanepowered floor
581,200120640,emitting 10 000 part
582,200120640,driving the scraper while
583,201152568,dismantling of the scaffold
584,201152568,dismantling of the scaffold
585,201152568,sitting on top of
586,201152568,working to remove asbestos
587,202085510,using fall protection
588,202085510,removing asbestos
589,202085510,working on a platform
590,170900856,rolling scaffold to remove
591,170900856,using a 5 to
592,170383459,removing asbestos
593,170383459,being performed in a
594,170383459,removing asbestos at a
595,170151468,ceiling material
596,170355903,using electrical protective equipment
597,170355903,pulling a deenergized electric
598,170664080,clearing access to a
599,200644243,using a water hose
600,200644243,tearing down the brick
601,200644243,using a water hose
602,200644243,hammering machine used to
603,200644243,operating the brock a
604,200032837,using safety harness nor
605,200032837,dislodging ash in the
606,200032837,cleaning fly ash from
607,200376671,setting up to mill
608,200376671,waiting for psi to
609,200376671,existing asphalt from an
610,200376671,milling machine wirtgen
611,200376671,using an asphalt milling
612,200376671,lighting all of
613,200376671,spacing tapering attenuator and
614,200376671,moving approximately 45 mph
615,200376671,standing
616,200376671,coming to check on
617,200376671,working distance
618,200376671,ensuring that the milling
619,200376671,controlling the operation of
620,200376671,using a handheld pendant
621,200376671,checking the depth of
622,202588745,working
623,202588745,repairing the asphalt pavement
624,202588745,working
625,202588745,repairing the asphalt pavement
626,202588745,working with a coworker
627,202588745,working behind a parked
628,202715835,following afternoon august 23
629,202715835,sitting
630,202715835,paving project
631,202715835,operating an asphalt roller
632,202654653,using hot liquid asphalt
633,200361640,falling to the concrete
634,200361640,working painting a roof
635,202651899,hauling large rock an
636,202651899,traveling at approximately 5
637,202651899,operating a power buggy
638,202588026,working within his trade
639,202588026,spilling down employee
640,202588026,roofing tar spilling down
641,202588026,roofing tar from a
642,202588026,transferring molten roofing tar
643,202588026,working at a multiemployer
644,201078839,shoveling the asphalt material
645,201078839,cleaning and shoveling the
646,201078839,cleaning the corner of
647,202544821,carrying splashed on his
648,202544821,carrying two 5gallon bucket
649,202544821,doing roofing work with
650,202544649,waterproofing for the planter
651,202544649,attempting to pour hot
652,202720694,operating a track excavator
653,200515906,operating excavator to demolish
654,200923621,using a probe to
655,200923621,extending from the house
656,200923621,digging a trench the
657,200923621,existing singlefamily home
658,200923621,working a part of
659,202716692,working in a 30inch
660,202716692,performing excavation work at
661,201128675,being removed so the
662,201128675,amputating the tip of
663,200881811,installing a new antenna
664,200881811,riding the load line
665,200881811,plunging the three worker
666,202489019,including amputation of the
667,202489019,holding the hoist cable
668,202489019,being attached inside a
669,202539086,wearing an appropriate fall
670,202539086,working at the construction
671,202466074,working with or near
672,202466074,painting the wall on
673,201043478,protruding up from the
674,201043478,holding a hair pin
675,201043478,cutting a 4
676,201043478,using his positioning hook
677,201043478,preparing a vertical rebar
678,202447447,using approximately 41 lb
679,202447447,assisting on the ground
680,202447447,operating a sky trak
681,202447447,working with a forklift
682,200623569,operating his bulldozer when
683,201370954,using a tagline
684,201370954,operating a rubber tired
685,201352812,using any form of
686,201352812,using the boom to
687,201352812,operating an asplundh aerial
688,201352812,replacing 12 wooden light
689,200997286,installing helical pile to
690,200202497,causing employee 1
691,200202497,leaning against the safety
692,200202497,siding from the exterior
693,200202497,removing metal siding from
694,201082823,being used
695,201082823,trying to locate an
696,201082823,working for a general
697,201160819,vomiting
698,201160819,pulling a groundingtype plug
699,201160819,bringing out electrical line
700,202493722,installing low voltage electrical
701,202493722,working in a commercial
702,202493722,receiving inhome health care
703,200375574,conditioning system hvac
704,200375574,performing heating and air
705,202126702,installing a thermostat line
706,202491072,installing a security system
707,202468450,installing an hvac system
708,202586095,climbing down the ladder
709,202586095,performing electrical work in
710,202586095,coming down out of
711,200462273,undergoing renovation
712,200462273,spraying foam insulation in
713,200603603,working in the attic
714,201079886,working at a commercial
715,201079886,driving the bobcat in
716,201079886,assisting coworker 1
717,201079886,operating a bobcat 863
718,202588703,closing the clean out
719,202588703,operating a miller formless
720,202588703,working on a highway
721,202422382,reaching the front right
722,202422382,being lifted reaching the
723,202422382,measuring approximately 37 ft
724,202422382,removing equipment from a
725,202674651,unloading an auger extension
726,201497278,drilling unit alone in
727,201497278,operating a water well
728,201088358,using the control to
729,201088358,drilling into several layer
730,200051936,spraying a fire retardant
731,200051936,dumping the fire retardant
732,202359410,lifting point not for
733,202359410,lifting point not for
734,202721387,holding the base of
735,202721387,warning sign or cone
736,202721387,adjusting her driver s
737,200376275,passing all three vehicle
738,202546537,working alone and there
739,202546537,working on the roof
740,201130077,using a mobile crane
741,201130077,uncovering a trench which
742,201130077,setting up the cribbing
743,201130077,sitting on the ground
744,202692133,scarring from the event
745,202692133,using a skill saw
746,202546172,falling laminated psl wood
747,202546172,rigging a 520 lb
748,201079522,using an 8foot werner
749,201079522,inspecting window using an
750,201079522,performing remodeling work at
751,202658480,intending to patch a
752,202658480,roofing paper in his
753,202658480,holding two sheet of
754,202658480,ascending a scaffold ladder
755,202658480,working at a residential
756,202658522,specializing in single family
757,202658522,framing contractor specializing in
758,202658522,using the saw to
759,202658522,operating a circular saw
760,202658522,working at a residential
761,170836167,riding in the boom
762,170836167,working a an interior
763,200534394,being placed between sheet
764,200534394,working for d
765,202542577,being saved in a
766,202542577,preparing for the construction
767,202490520,removing a traffic cone
768,202490520,burying fiber optic conduit
769,202490520,working a a flagger
770,201075173,lifting a framed wall
771,201075173,lifting one end by
772,201075173,working a the lead
773,202362182,checking the alignment of
774,202362182,kneeling in a 4foot
775,200678241,wearing a traffic vest
776,200678241,backing up from north
777,200678241,being used by a
778,200678241,performing his duty he
779,200678241,picking up road debris
780,170784714,lying on his left
781,170784714,helping a coworker unload
782,202531893,tilting up the pipe
783,202531893,loading a left over
784,201044989,working in a trench
785,202674842,running he exited the
786,202674842,operating an excavator
787,200515716,moving one mat in
788,200515716,keeping three mat underneath
789,200515716,sinking into the pond
790,200515716,operating the backhoe on
791,200515716,decomposing vegetation
792,200515716,remaining depth consisted of
793,200515716,dredging vegetation and sedimentation
794,200515716,operating a backhoe excavator
795,200535300,missing and the
796,200535300,missing and the
797,200535300,holding bracket the
798,200535300,operating a backhoe on
799,200981231,making adjustment to the
800,200981231,working for cop wyoming
801,202522843,sustaining multiple fracture
802,202522843,working a the operator
803,202544201,operating a backhoe
804,202656617,moving the bucket back
805,202656617,using a shovel to
806,202656617,following the backhoe and
807,202656617,dumping it into a
808,202656617,removing concrete and dirt
809,202656617,working on a street
810,200075026,pulling a 5inch steel
811,201496478,hitting on the side
812,201496478,trying to direct the
813,201496478,drilling contractor at the
814,201496478,working for a water
815,201636842,placing a tool on
816,201407780,moving debris when employee
817,201407780,working a a construction
818,201147311,going to tie the
819,201147311,unloading a palletized stack
820,201147311,working for an firm
821,201147311,fastening a rope to
822,201147311,operating a case 580
823,201037645,being used to close
824,201037645,leaning over the tongue
825,201037645,working for a backhoe
826,201042124,swing pedal
827,201572641,working in a 4foot
828,200642809,placing a handheld concrete
829,201066792,operating the backhoe in
830,201066792,installing underground water utility
831,201066792,operating the backhoe in
832,201066792,operating the backhoe control
833,201066792,operating a caterpillar 416c
834,170241343,installing sewer line in
835,202250940,walking behind a construction
836,200782134,causing the boom to
837,200782134,swing control lever causing
838,200782134,performing the work a
839,200782134,running
840,200782134,operating a backhoe when
841,201077229,lowering a 48 in
842,202220810,working at the site
843,202220810,measuring 32 to 40
844,202220810,driving a caterpillar 420e
845,201639689,breaking his leg
846,201639689,weighing about 800 pound
847,201639689,using a small trackhoe
848,201639689,being hoisted using a
849,201639671,breaking his leg
850,201639671,standing close by breaking
851,201639671,breaking his leg
852,201639671,being hoisted by a
853,202476131,installing new underground water
854,202079711,being lowered to dig
855,202079711,operating a komatsu 400
856,202079711,installing storm sewer section
857,202288916,shoveling debris into a
858,201881232,having a hard time
859,201881232,using an excavator bucket
860,200075471,functioning back alarm
861,200075471,traveling in reverse 35
862,200075471,backing up a dump
863,200075471,digging dirt from a
864,202654745,backing up
865,202654745,walking on the ground
866,200981330,backing up and wa
867,200981330,preparing it for asphalt
868,200981330,using a shovel to
869,201122546,working near a baggage
870,202479499,being deenergized before servicing
871,202479499,trying to remove a
872,202479499,servicing fluorescent light fixture
873,202471926,installing electrical ballast in
874,202560843,changing a ballast on
875,200713238,changing out a ballast
876,201115854,cutting an approximately 3
877,201115854,marking the position for
878,201115854,preparing the roof area
879,201115854,conditioning unit
880,201115854,installing an air conditioning
881,201115854,casing of an electrical
882,200626505,stepping across a gap
883,200626505,crossing between two 60foot
884,201581097,operating a hoist on
885,200220333,operating a linkbelt crane
886,201129491,opening
887,201129491,remaining openly exposed side
888,201129491,being moved in order
889,201129491,opening
890,201129491,remaining openly exposed side
891,201129491,opening in that work
892,202522934,removing a pin from
893,201128840,working a a building
894,202492815,backing up employee
895,202492815,being used to lift
896,202492815,operating a front loader
897,201354115,involving a fatality
898,201354115,leaving the scene of
899,201354115,driving on a suspended
900,201354115,working on a highway
901,200758993,relating to residential house
902,200758993,using an alternative fall
903,200758993,walking backward when he
904,200758993,installing ice guard and
905,200758993,working for hatcher roofing
906,202625265,working along the road
907,202574216,swinging superstructure
908,202574216,entering the swing radius
909,202574216,being excavated
910,202574216,walking along a path
911,200358547,opening 15 ft to
912,200358547,decking and he fell
913,200358547,pulling a 33 ft
914,200358547,walking backward pulling a
915,200625507,checking the cable tension
916,200625507,preparing to conduct a
917,202356853,charging the battery of
918,170830681,wearing the provided eye
919,170830681,being sold
920,202509998,walking on top of
921,202509998,erecting steel beam a
922,202561726,working under an elevated
923,202561726,performing exterior carpentry a
924,202561726,striking employee 1
925,202561726,providing support for steel
926,202561726,being removed the suspension
927,202658209,walking parallel to the
928,202658209,getting out of the
929,202658209,being rolled coworker
930,202658209,measuring the beam to
931,202675054,performing framing activity at
932,200923605,repairing an elevator in
933,202654752,pulling the ceiling joist
934,202654752,installing a ceiling joist
935,201079639,weighing over 2 500
936,201079639,rigging a 35 foot
937,201498011,gathering information for a
938,201498011,walking along some attic
939,201498011,working at a church
940,201498011,working a a salesman
941,200923563,constructing a wall frame
942,200923563,working at a single
943,202554952,unknowing tied off to
944,201106028,causing metal to fly
945,201106028,bearing and struck it
946,201106028,replacing a bearing and
947,202657409,working in close proximity
948,202657409,performing his normal duty
949,202657409,working for the company
950,202657409,applying a finish coat
951,202657409,working at a new
952,200776508,sweeping up miscellaneous debris
953,201489044,using a circular saw
954,202345492,attempting to get away
955,202345492,picking up the debris
956,202345492,clearing the bank of
957,201104262,performing duty a a
958,201562857,holding onto the pipe
959,201562857,setting a 40foot section
960,201562857,working on a pipeline
961,201072121,going to make a
962,201072121,getting sufficient blood supply
963,201072121,moving the rebar forward
964,201072121,moving the rebar from
965,201072121,threading process just before
966,201072121,spinning the large bundle
967,201072121,having problem so a
968,201072121,attempting to pull the
969,201072121,threading up a bundle
970,201072121,working at a
971,202588695,operating a portable powered
972,201635984,climbing from a ladder
973,201635984,setting up to repair
974,201167095,installing a new bathroom
975,171011828,adding compressed gas to
976,300785862,operating a national crane
977,300785862,setting krails and wa
978,300785862,moving and setting krails
979,300785862,installing concrete traffic barrier
980,170205801,pinning him against the
981,170205801,footing when one of
982,170205801,working a a pile
983,200990976,using the air lance
984,200990976,cleaning hopper at the
985,170366165,performing hot work on
986,170366165,being replaced on a
987,170384283,operating a daewoo excavator
988,200361699,undergoing numerous surgery in
989,200361699,blasting rock to excavate
990,200361699,working at a construction
991,315952622,functioning properly
992,315952622,treating employee 1
993,315952622,acknowledging the need to
994,315952622,wearing regular rubber boot
995,315952622,wearing metatarsal protection but
996,315952622,functioning properly
997,315952622,using a hydroblasting wand
998,315952622,measuring approximately 30 foot
999,315952622,working on a team
1000,315952622,cleaning company
1001,315952622,working for his employer
1002,201923596,waiting on emergency medical
1003,201923596,acting strange and wa
1004,201923596,blasting the inside of
1005,200650794,firing switch on a
1006,200650794,touching the firing switch
1007,200650794,working a part of
1008,201034824,working on the top
1009,201034824,blasting operation in a
1010,201034824,doing sand blasting operation
1011,201034824,falling of the scaffold
1012,201034824,resulting in tipping and
1013,170856520,waiting outside of the
